正文 nz
一 m
（ x
郑小芳 x
） x
人 n
一生 m
中 f
， x
总会 n
有 v
一些 m
重大 a
而 c
有 v
意义 n
的 uj
时刻 n
。 x
我 r
现在 t
就 d
面临 v
着 uz
这样 r
一个 m
时刻 n
。 x
也许 d
这件 mq
事 n
并 c
不 d
重大 a
， x
但 c
至少 d
是 v
有 v
意义 n
的 uj
。 x
我 r
是 v
说 v
， x
再有 v
一个月 m
， x
我 r
就要 d
从 p
省 n
林业 n
学院 n
毕业 n
了 ul
。 x
你们 r
也许 d
并不知道 l
， x
四年 m
前 f
， x
我 r
还是 c
黄土高原 ns
山沟 ns
里 f
的 uj
一个 m
乡下 s
姑娘 n
。 x
而 c
现在 t
， x
我 r
已经 d
成 v
了 ul
一名 m
大学 n
毕业生 n
。 x
对于 p
一个 m
人 n
来说 u
， x
这种 r
变化 vn
难道 d
还 d
不 d
重大 a
吗 y
？ x
我 r
已经 d
拒绝 v
了让 v
我 r
留校 v
的 uj
要求 v
， x
而 c
坚持 v
让 v
学校 n
把 p
我 r
分配 vn
到 v
我们 r
家乡 n
那里 r
的 uj
地区 n
去 v
工作 vn
。 x
同学 n
们 k
中间 f
很少 m
有人 r
能 v
理解 v
我 r
。 x
他们 r
嘲笑 v
我 r
是 v
个 q
十足 d
的 uj
“ x
乡下佬 l
” x
。 x
因为 c
放弃 v
在 p
大城市 ns
工作 vn
的 uj
机会 n
， x
而 c
跑 v
到 v
一个 m
荒凉 a
的 uj
山区 ns
去 v
吃苦 a
， x
似乎 d
太 d
愚蠢 a
了 ul
。 x
我 r
承认 v
我 r
是 v
个 q
乡下佬 l
。 x
我 r
热爱 a
我们 r
的 uj
乡下 s
， x
正如 v
城里 s
的 uj
人 n
热爱 a
他们 r
生活 vn
的 uj
城市 ns
。 x
一个 m
人 n
总 b
有 v
一条 m
根 p
深深 b
扎 v
在 p
某 r
一个 m
地方 n
。 x
我 r
的 uj
故乡 n
的确 d
荒凉 a
而 c
贫瘠 a
。 x
那里 r
， x
严寒 a
从头 v
年 m
十一月 m
一直 d
要 v
蔓延到 l
第二年 m
清明节 t
以前 f
。 x
那里 r
的 uj
春天 t
也 d
极其 d
短暂 a
， x
而且 c
塞外 s
吹来 v
的 uj
大风 n
常常 d
把 p
毛乌素 nr
大漠 n
的 uj
沙尘 nr
扬得 v
铺天盖地 i
， x
把 p
刚 t
开放 v
的 uj
桃 n
杏花 n
打落 v
在 p
了 ul
地上 s
。 x
但是 c
， x
那里 r
也 d
有 v
许多 m
好日子 l
。 x
我们 r
的 uj
美妙 a
的 uj
时光 n
是从 v
夏至 t
以后 f
开始 v
的 uj
。 x
这些 r
阳光明媚 nr
、 x
清风 n
习习 v
的 uj
好日子 l
一直 d
要 v
延续 v
到 v
另 r
一个 m
冬天 t
开始 v
。 x
在 p
这些 r
日子 n
里 f
， x
大部分 m
都 d
会 v
是 v
好 a
天气 n
， x
尤其 d
是 v
三伏天 t
， x
天蓝 b
得 ud
耀眼 a
， x
充足 a
的 uj
阳光 nr
照 n
得 ud
大地 n
一片 m
金黄 nr
， x
但 c
并 c
不 d
像 v
大城市 ns
这样 r
闷热 a
， x
白天 t
和 c
晚间 t
都 d
有 v
凉爽 a
的 uj
风 n
吹拂 v
着 uz
大地 n
， x
给 p
人 n
和 c
万物 n
以 p
亲切 a
的 uj
抚摸 v
。 x
四年 m
以前 f
， x
我 r
一直 d
就 d
生活 vn
在 p
那里 r
， x
除过 p
读 n
中学 n
在 p
县城 n
， x
从来 d
也 d
没有 v
远行 v
。 x
自从 p
考入 v
省 n
林业 n
学院 n
， x
来到 v
这 r
繁华 a
的 uj
省城 n
， x
四 m
年间 t
， x
我 r
无时 d
不 d
在 p
思念 n
着 uz
我 r
的 uj
故乡 n
。 x
有时候 l
， x
在 p
学校 n
三层楼 n
的 uj
宿舍 n
里 f
， x
我 r
常常 d
梦见 v
小时候 n
的 uj
那些 r
夏夜 t
， x
我 r
跟 p
父亲 n
睡 v
在 p
打麦场 n
上 f
， x
点着 v
艾绳火 nr
熏 v
蚊子 n
； x
让 v
凉风 n
吹拂 v
着 uz
裸露 v
的 uj
胳膊 n
； x
数天 m
上 f
的 uj
星星 nz
， x
听 v
小 a
河水 ns
的 uj
喧哗 v
… x
… x
有时候 l
， x
城市 ns
某个 r
地方 n
偶尔 d
传来 v
一声 m
鸡啼 n
， x
我 r
就 d
忍不住 v
哭 v
了 ul
。 x
这 r
可是 c
乡下 s
的 uj
声音 n
啊 zg
！ x
我 r
之所以 c
坚持 v
要 v
回到 v
故乡 n
那里 r
去 v
工作 vn
， x
不仅仅 d
是 v
我 r
眷恋 v
和 c
热爱 a
它 r
， x
更 d
主要 b
的 uj
是 v
， x
我学 n
的 uj
水土保持 nr
专业 n
也 d
只有 c
在 p
那里 r
才能 v
大有作为 i
。 x
我 r
当初 t
报考 v
这个 r
专业 n
就是 d
为了 p
最后 f
还 d
能 v
回到 v
那里 r
去 v
。 x
我 r
爱家乡 ns
的 uj
山山水水 ns
， x
我 r
就 d
想 v
用 p
我 r
自己 r
学到 v
的 uj
知识 v
去 v
把 p
它 r
变得 v
美好 a
。 x
这个 r
想法 v
在 p
我 r
小时候 n
就 d
有 v
了 ul
。 x
说实话 l
， x
我 r
从 p
内 f
心里 s
看不起 v
我 r
的 uj
有些 r
同学 n
。 x
他们 r
虽然 c
来自 v
乡下 s
， x
却 d
鄙视 v
乡下 s
。 x
我 r
平时 t
很 zg
反感 v
他们 r
鄙薄 a
自己 r
的 uj
家乡 n
， x
这 r
正如 v
一个 m
人 n
谈论 vn
自己 r
父母 n
的 uj
缺陷 v
会 v
引起 v
别人 r
的 uj
反感 v
。 x
现在 t
， x
这些 r
人 n
正 d
千方百计 i
想 v
留在 v
城市 ns
工作 vn
， x
哪怕 c
让 v
他们 r
蹬 v
三轮车 n
也 d
愿意 v
留下 v
。 x
我 r
并 c
不是 c
说 v
我 r
的 uj
思想境界 n
就 d
有 v
多 m
高 a
。 x
但 c
我 r
总 b
觉得 v
， x
抛开 v
旁 f
的 uj
不 d
说 v
， x
一个 m
人 n
在 p
年轻 a
的 uj
时候 n
总 b
应该 v
有 v
一种 m
勇于 v
献身 v
的 uj
精神 n
。 x
尽管 c
我们 r
现在 t
的 uj
生活 vn
中 f
享乐 v
是 v
一种 m
普遍 ad
的 uj
时尚 n
， x
但 c
我 r
认为 v
生活 vn
中 f
崇高 nrt
与 p
低级 b
的 uj
界线 n
从来 d
都 d
没有 v
模糊 a
过 ug
。 x
当然 d
， x
我 r
并 c
不 d
愿意 v
过 ug
多 m
地 n
指责 v
我 r
年轻 a
的 uj
朋友 n
们 k
， x
因为 c
归根结底 i
， x
人们 n
对 p
生活 vn
和 c
幸福 a
的 uj
理解 v
取决于 v
每个 r
人 n
自己 r
的 uj
认识 v
。 x
这种 r
认识 v
很 d
难 a
统一 vn
。 x
我 r
是 v
准备 v
走 v
自己 r
的 uj
路 n
， x
但 c
我 r
也 d
愿意 v
为 p
另外 c
路上 s
的 uj
朋友 n
们 k
祝福 nr
。 x
好 a
了 ul
， x
离别 v
的 uj
时刻 n
就要 d
到来 d
。 x
我们 r
都 d
要 v
像 v
离巢 v
的 uj
鸟儿 n
般 u
飞向 n
四面八方 i
， x
不管 c
在 p
哪 r
一个 m
天地 n
里 f
飞 v
， x
我们 r
都 d
得 ud
将 d
开始 v
用 p
自己 r
的 uj
翅膀 n
飞 n
。 x
这就是说 l
， x
我们 r
要 v
开始 v
独立 v
生活 vn
了 ul
。 x
所有 b
这 r
一切 r
都 d
让 v
人 n
激动 a
。 x
它 r
使 v
人 n
兴奋 v
， x
它 r
让 v
人 n
愉快 a
得 ud
有点 n
颤栗 v
， x
京 j
让 v
人 n
烦躁不安 z
， x
它 r
叫 v
人 n
彻夜不眠 i
… x
… x
当然 d
， x
我 r
的 uj
激动 a
还有 v
另外 c
一些 m
原因 n
， x
现在 t
我 r
也 d
可以 c
不 d
害臊 a
地 uv
谈一谈 i
， x
不过 c
， x
说 v
出来 v
也许 d
你 r
要 v
笑话 n
。 x
除 p
过 ug
毕业 n
的 uj
激动 a
外 f
， x
我 r
